Address;Price per month;Link to the property?
6363 Christie Ave, Emeryville, CA;2050;https://www.zillow.com/b/6363-christie-ave-emeryville-ca-5XkDpY/
480 55th St APT B, Oakland, CA 94609;2550;https://www.zillow.com/homedetails/480-55th-St-APT-B-Oakland-CA-94609/2065751501_zpid/
2401 Sacramento St APT 1, San Francisco, CA 94115;2750;https://www.zillow.com/homedetails/2401-Sacramento-St-APT-1-San-Francisco-CA-94115/2110855271_zpid/
2130 Cabrillo St, San Francisco, CA 94121;2750;https://www.zillow.com/homedetails/2130-Cabrillo-St-San-Francisco-CA-94121/2083961128_zpid/
1461 Alice St, Oakland, CA;1745;https://www.zillow.com/b/1461-alice-st-oakland-ca-5XjKQS/
69 Whitney St APT D, San Francisco, CA 94131;2780;https://www.zillow.com/homedetails/69-Whitney-St-APT-D-San-Francisco-CA-94131/2062379965_zpid/
2100 Santa Clara Ave, Alameda, CA;2200;https://www.zillow.com/b/2100-santa-clara-ave-alameda-ca-9NMjgx/
1727 Bridgeway, Sausalito, CA 94965;2500;https://www.zillow.com/homedetails/1727-Bridgeway-Sausalito-CA-94965/2062384607_zpid/
2142 Alameda Ave #C, Alameda, CA 94501;1700;https://www.zillow.com/homedetails/2142-Alameda-Ave-C-Alameda-CA-94501/2062383511_zpid/
1805 9th Ave, Oakland, CA 94606;2795;https://www.zillow.com/homedetails/1805-9th-Ave-Oakland-CA-94606/24759370_zpid/
351 Hanover Ave APT 302, Oakland, CA 94606;2200;https://www.zillow.com/homedetails/351-Hanover-Ave-APT-302-Oakland-CA-94606/2085854214_zpid/
1634 33rd Ave, San Francisco, CA 94122;2595;https://www.zillow.com/homedetails/1634-33rd-Ave-San-Francisco-CA-94122/15108861_zpid/
373 San Jose Ave #A, San Francisco, CA 94110;2525;https://www.zillow.com/homedetails/373-San-Jose-Ave-A-San-Francisco-CA-94110/2077293821_zpid/
1 bed, $2,250, 1801 Rose St APT 5, Berkeley, CA 94703;2250;https://www.zillow.com/homedetails/1801-Rose-St-APT-5-Berkeley-CA-94703/2096912308_zpid/
870 Harrison St UNIT 201, San Francisco, CA 94107;2695;https://www.zillow.com/homedetails/870-Harrison-St-UNIT-201-San-Francisco-CA-94107/2096704486_zpid/
1121 Bush St, San Francisco, CA;2450;https://www.zillow.com/b/San-Francisco-CA/37.788982,-122.41575_ll/
901 Jefferson St APT 215, Oakland, CA 94607;2750;https://www.zillow.com/homedetails/901-Jefferson-St-APT-215-Oakland-CA-94607/333759779_zpid/
1930 12th Ave APT 311, Oakland, CA 94606;1718;https://www.zillow.com/homedetails/1930-12th-Ave-APT-311-Oakland-CA-94606/2062440188_zpid/
2 bed, 800 sqft, $2,495, 274 Park View Ter APT 1, Oakland, CA 94610;2495;https://www.zillow.com/homedetails/274-Park-View-Ter-APT-1-Oakland-CA-94610/2087640856_zpid/
1433 Spruce St, Berkeley, CA 94709;2200;https://www.zillow.com/homedetails/1433-Spruce-St-Berkeley-CA-94709/299074215_zpid/
2059 Market St #20, San Francisco, CA 94114;2450;https://www.zillow.com/homedetails/2059-Market-St-20-San-Francisco-CA-94114/2062377180_zpid/
2012 Grant St APT 4, Berkeley, CA 94703;2250;https://www.zillow.com/homedetails/2012-Grant-St-APT-4-Berkeley-CA-94703/2084861244_zpid/
885 Franklin St APT 203, San Francisco, CA 94102;2695;https://www.zillow.com/homedetails/885-Franklin-St-APT-203-San-Francisco-CA-94102/2062419573_zpid/
2910 Hillegass Ave APT 4, Berkeley, CA 94705;2700;https://www.zillow.com/homedetails/2910-Hillegass-Ave-APT-4-Berkeley-CA-94705/24829617_zpid/
222 Broadway APT 612, Oakland, CA 94607;3000;https://www.zillow.com/homedetails/222-Broadway-APT-612-Oakland-CA-94607/94686157_zpid/
1 bed, 520 sqft, $2,150, 1315 Dwight Way APT J, Berkeley, CA 94702;2150;https://www.zillow.com/homedetails/1315-Dwight-Way-APT-J-Berkeley-CA-94702/2083248016_zpid/
(undisclosed Address), Berkeley, CA 94708;2400;https://www.zillow.com/homedetails/Berkeley-CA-94708/24844525_zpid/
1 bed, $1,995, 1829 6th Ave #205, Oakland, CA 94606;1995;https://www.zillow.com/homedetails/1829-6th-Ave-205-Oakland-CA-94606/2077289728_zpid/
1 bed, 711 sqft, $2,395, 1455 Clay St APT 5, San Francisco, CA 94109;2395;https://www.zillow.com/homedetails/1455-Clay-St-APT-5-San-Francisco-CA-94109/2075619273_zpid/
411 Fairmount Ave, Oakland, CA;1945;https://www.zillow.com/b/411-fairmount-ave-oakland-ca-5YtYdS/
